pot,height_centimeters,num_infloresences,main_inflor_height,main_inflor_width,main_inflor_volume_cylinder,main_infl_vol_hemisphere
1,46,17,3.5,2.5,34.36116965,6.544984695
2,34,13,3.4,2.7,38.93375776,7.634070148
4,33,11,2.2,2.5,21.59844949,6.544984695
5,34,11,2.8,2.2,21.28743182,5.068436148
6,24,11,2.8,2.1,19.39619304,4.618141201
7,29,21,2.4,1.9,13.60937938,3.78038316
8,12,2,1.4,1.9,7.938804636,3.78038316
9,38,19,4.5,2.5,44.17864669,6.544984695
10,30,17,2.5,2.3,20.77378142,5.539675046
11,27,15,3.1,2.3,25.75948896,5.539675046
12,39,15,3.9,2.6,41.41247436,7.079055446
13,25,13,2.6,2.2,19.76690098,5.068436148
14,33,11,2.4,2.4,21.71468842,6.031857895
15,30,17,3.1,2.2,23.56822809,5.068436148
16,20,15,2.8,2.2,21.28743182,5.068436148
17,27,13,1.9,2.3,15.78807388,5.539675046
18,30,9,2.8,2,17.59291886,4.188790205
19,27.5,7,2.3,1.9,13.0423219,3.78038316
20,34,7,3.2,2.2,24.32849351,5.068436148
21,41,13,4.3,2.2,32.69141315,5.068436148
24,27,5,2.4,1.9,13.60937938,3.78038316
25,29.5,11,3.2,2.4,28.9529179,6.031857895
26,24,9,2.7,2.6,28.67017456,7.079055446
27,23,7,2.1,1.9,11.90820695,3.78038316
28,24.5,9,2.3,2,14.45132621,4.188790205
30,17,3,1.5,2.2,11.40398133,5.068436148
31,21,5,1.7,2.1,11.77626006,4.618141201
32,36.5,9,3.7,2.4,33.47681132,6.031857895
33,23.5,5,1.5,1.9,8.50586211,3.78038316
34,30,3,3.5,2,21.99114858,4.188790205
35,30,9,3.3,2.2,25.08875893,5.068436148
36,30,11,2.1,1.9,11.90820695,3.78038316
38,31,5,3.1,2.3,25.75948896,5.539675046
40,28,3,2.5,1.8,12.72345025,3.392920066
42,24,1,2,1.9,11.34114948,3.78038316
43,33,3,2.7,2,16.96460033,4.188790205
44,27,7,2.9,2,18.22123739,4.188790205
45,25,7,2.4,2,15.07964474,4.188790205
