pot,num_seeds,weight_seeds_mg,avg_weight_seed,seed_type,focal_species,background_species,background_density,treatment,notes
1,489,283.51,0.579775051,unwinged,PLCO,PLCO,0,Drought-stressed,
2,428,264.3,0.617523364,unwinged,PLCO,PLCO,0,Drought-stressed,
3,617,203.3,0.329497569,unwinged,PLCO,PLCO,0,Drought-stressed,
4,295,150.18,0.509084746,unwinged,PLCO,PLCO,0,Drought-stressed,
5,402,155.42,0.386616915,unwinged,PLCO,PLCO,0,Drought-stressed,
6,269,111.33,0.413866171,unwinged,PLCO,PLCO,0,Drought-stressed,
8,205,77.32,0.377170732,unwinged,PLCO,PLCO,0,Drought-stressed,
9,498,395.95,0.795080321,winged,PLCO,PLCO,0,Drought-stressed,
10,581,213.8,0.367986231,unwinged,PLCO,PLCO,0,Drought-stressed,
11,266,136.62,0.513609023,winged,PLCO,PLCO,0,Drought-stressed,
12,195,100.4,0.514871795,unwinged,PLCO,PLCO,0,Drought-stressed,
13,319,136.19,0.4269279,unwinged,PLCO,PLCO,0,Drought-stressed,
14,387,314.18,0.811834625,winged,PLCO,PLCO,0,Drought-stressed,
15,277,112.14,0.404837545,unwinged,PLCO,PLCO,0,Drought-stressed,
16,291,208.9,0.717869416,unwinged,PLCO,PLCO,0,Drought-stressed,
1,489,283.51,0.579775051,unwinged,PLCO,VALO,0,Drought-stressed,
2,428,264.3,0.617523364,unwinged,PLCO,VALO,0,Drought-stressed,
3,617,203.3,0.329497569,unwinged,PLCO,VALO,0,Drought-stressed,
4,295,150.18,0.509084746,unwinged,PLCO,VALO,0,Drought-stressed,
5,402,155.42,0.386616915,unwinged,PLCO,VALO,0,Drought-stressed,
6,269,111.33,0.413866171,unwinged,PLCO,VALO,0,Drought-stressed,
8,205,77.32,0.377170732,unwinged,PLCO,VALO,0,Drought-stressed,
9,498,395.95,0.795080321,winged,PLCO,VALO,0,Drought-stressed,
10,581,213.8,0.367986231,unwinged,PLCO,VALO,0,Drought-stressed,
11,266,136.62,0.513609023,winged,PLCO,VALO,0,Drought-stressed,
12,195,100.4,0.514871795,unwinged,PLCO,VALO,0,Drought-stressed,
13,319,136.19,0.4269279,unwinged,PLCO,VALO,0,Drought-stressed,
14,387,314.18,0.811834625,winged,PLCO,VALO,0,Drought-stressed,
15,277,112.14,0.404837545,unwinged,PLCO,VALO,0,Drought-stressed,
16,291,208.9,0.717869416,unwinged,PLCO,VALO,0,Drought-stressed,
17,185,74.82,0.404432432,unwinged,PLCO,PLCO,4,Drought-stressed,
18,156,37.6,0.241025641,unwinged,PLCO,PLCO,4,Drought-stressed,
19,90,42.09,0.467666667,unwinged,PLCO,PLCO,4,Drought-stressed,
20,142,92.06,0.648309859,unwinged,PLCO,PLCO,4,Drought-stressed,
21,262,142.16,0.54259542,unwinged,PLCO,PLCO,4,Drought-stressed,
22,110,46.28,0.420727273,unwinged,PLCO,PLCO,4,Drought-stressed,
23,408,200.45,0.49129902,unwinged,PLCO,PLCO,4,Drought-stressed,
24,33,13.89,0.420909091,unwinged,PLCO,PLCO,4,Drought-stressed,
25,114,78.63,0.689736842,winged,PLCO,PLCO,4,Drought-stressed,
26,320,141.12,0.441,winged,PLCO,PLCO,4,Drought-stressed,
27,161,83.41,0.518074534,unwinged,PLCO,PLCO,4,Drought-stressed,
28,133,60.19,0.452556391,unwinged,PLCO,PLCO,4,Drought-stressed,
29,25,16.84,0.6736,unwinged,PLCO,PLCO,10,Drought-stressed,
30,77,25.95,0.337012987,unwinged,PLCO,PLCO,10,Drought-stressed,
31,121,59.29,0.49,unwinged,PLCO,PLCO,10,Drought-stressed,
32,182,62.56,0.343736264,unwinged,PLCO,PLCO,10,Drought-stressed,
33,136,51.48,0.378529412,unwinged,PLCO,PLCO,10,Drought-stressed,
34,109,47.68,0.437431193,unwinged,PLCO,PLCO,10,Drought-stressed,
35,220,103.83,0.471954545,unwinged,PLCO,PLCO,10,Drought-stressed,
36,154,60.51,0.392922078,unwinged,PLCO,PLCO,10,Drought-stressed,
37,54,21.5,0.398148148,unwinged,PLCO,PLCO,20,Drought-stressed,
38,107,57.82,0.540373832,unwinged,PLCO,PLCO,20,Drought-stressed,
39,29,12.81,0.441724138,unwinged,PLCO,PLCO,20,Drought-stressed,
40,58,30.7,0.529310345,unwinged,PLCO,PLCO,20,Drought-stressed,
41,47,13.69,0.291276596,unwinged,PLCO,PLCO,20,Drought-stressed,
42,28,12.93,0.461785714,unwinged,PLCO,PLCO,20,Drought-stressed,
43,86,41.2,0.479069767,unwinged,PLCO,PLCO,20,Drought-stressed,
44,64,27.3,0.4265625,unwinged,PLCO,PLCO,20,Drought-stressed,
45,159,78.59,0.49427673,unwinged,PLCO,VALO,4,Drought-stressed,
46,405,144.82,0.357580247,unwinged,PLCO,VALO,4,Drought-stressed,
47,31,18.71,0.603548387,unwinged,PLCO,VALO,4,Drought-stressed,
48,84,35.05,0.417261905,unwinged,PLCO,VALO,4,Drought-stressed,
49,116,98.51,0.849224138,winged,PLCO,VALO,4,Drought-stressed,
50,155,70.78,0.456645161,unwinged,PLCO,VALO,4,Drought-stressed,
51,0,0,0,NA,PLCO,VALO,4,Drought-stressed,(dead)
52,91,30.28,0.332747253,unwinged,PLCO,VALO,4,Drought-stressed,
53,204,86.73,0.425147059,unwinged,PLCO,VALO,4,Drought-stressed,
54,251,127.45,0.507768924,unwinged,PLCO,VALO,4,Drought-stressed,
55,142,63.65,0.448239437,unwinged,PLCO,VALO,4,Drought-stressed,
56,153,55.89,0.365294118,unwinged,PLCO,VALO,4,Drought-stressed,
57,145,60.82,0.419448276,unwinged,PLCO,VALO,10,Drought-stressed,
58,102,35.32,0.34627451,unwinged,PLCO,VALO,10,Drought-stressed,
59,72,47.35,0.657638889,unwinged,PLCO,VALO,10,Drought-stressed,
60,69,31.33,0.454057971,unwinged,PLCO,VALO,10,Drought-stressed,
61,24,14.81,0.617083333,unwinged,PLCO,VALO,10,Drought-stressed,
62,75,23.1,0.308,unwinged,PLCO,VALO,10,Drought-stressed,
