pot,height_centimeters,num_infloresences,main_inflor_height,main_inflor_width,num_flowers_in_large_inf,main_inflor_volume_hemisphere((2 / 3)pi*r^3,
162,19.5,24,1.2,1,26,0.261799388,
150,21.5,38,1.3,1,32,0.261799388,
145,24,48,1.3,1,30,0.261799388,
194,15,22,0.8,0.6,13,0.056548668,
181,14,8,1,0.5,15,0.032724923,
186,15,8,1,0.7,19,0.08979719,
204,15,8,0.9,0.5,12,0.032724923,
212,15,8,0.9,0.6,15,0.056548668,
200,16.5,8,1.2,0.6,22,0.056548668,
172,14,8,0.8,0.5,13,0.032724923,
151,24,36,1.2,1.2,35,0.452389342,
166,11,8,0.6,0.4,8,0.016755161,
192,17.5,14,0.9,0.8,20,0.134041287,
168,16,14,1,0.8,20,0.134041287,
199,20,16,0.9,0.6,15,0.056548668,
163,21,20,1,0.7,18,0.08979719,
213,15,8,0.9,0.6,18,0.056548668,
148,27,64,1.4,1,36,0.261799388,
196,9,4,0.8,0.4,12,0.016755161,
160,,,,,,0,
173,20,16,1,0.8,24,0.134041287,
203,11,4,1,0.6,20,0.056548668,
189,16.5,16,0.9,0.8,20,0.134041287,
205,17,8,1.1,0.5,20,0.032724923,
214,9,4,0.4,0.3,5,0.007068583,
201,12,8,0.7,0.4,10,0.016755161,
157,24.5,52,1.1,0.8,30,0.134041287,
165,21,20,1,0.8,26,0.134041287,
193,15,8,1,0.7,20,0.08979719,
210,15,8,0.7,0.5,18,0.032724923,
209,10,4,0.6,0.4,9,0.016755161,
174,23,14,1,1,,0.261799388,
169,10,8,0.9,0.6,,0.056548668,
147,18.5,26,1,0.6,,0.056548668,
153,29,102,1.4,1.4,60,0.71837752,
176,18,14,1.1,0.7,,0.08979719,
156,22,40,1.2,0.8,,0.134041287,
179,19,10,1.1,0.6,,0.056548668,
154,22.5,58,1.2,1,,0.261799388,
191,18,8,1.1,0.7,,0.08979719,
195,21,24,1.2,0.9,,0.190851754,
187,15,8,0.7,0.5,,0.032724923,
NA,14,8,0.7,0.5,,0.032724923,
183,12,4,0.8,0.5,,0.032724923,
155,15,20,0.9,0.7,,0.08979719,
180,17,12,0.7,0.5,,0.032724923,
197,11.5,8,0.6,0.4,,0.016755161,
178,18,12,0.9,0.6,,0.056548668,
198,18,14,0.8,0.5,,0.032724923,
161,21.5,16,1,0.5,,0.032724923,
184,16.5,8,0.8,0.6,,0.056548668,
177,,,,,,0,still in bud
171,21,24,1.1,0.8,,0.134041287,
146,20,44,1,0.6,,0.056548668,
190,20,18,1,0.7,,0.08979719,
216,10,4,0.6,0.4,,0.016755161,
149,17.5,44,1,0.7,,0.08979719,
175,14.5,8,0.7,0.5,,0.032724923,
170,22,30,1.1,0.6,,0.056548668,
188,7.5,4,0.5,0.3,,0.007068583,
159,26.5,68,1.1,0.7,,0.08979719,
208,11,1,0.8,0.5,,0.032724923,
206,16,8,0.9,0.6,,0.056548668,
164,25,36,1,0.8,,0.134041287,
215,11,8,0.9,0.5,,0.032724923,
202,16,16,0.7,0.4,,0.016755161,
211,12.5,8,0.6,0.3,,0.007068583,
152,18.5,20,0.7,0.5,,0.032724923,
185,,,,,,0,still in bud
158,22,54,1,0.6,,0.056548668,
207,14,8,0.9,0.6,,0.056548668,
167,12.5,8,0.6,0.4,,0.016755161,
249,15,12,0.9,0.6,,0.056548668,
255,,,,,,0,still in bud
241,23.5,24,0.8,0.4,,0.016755161,
282,14,4,0.9,0.6,,0.056548668,
219,16.5,16,0.9,0.6,,0.056548668,
286,15,8,0.7,0.4,,0.016755161,
252,18,8,0.9,0.6,,0.056548668,
234,20,24,1,0.7,,0.08979719,
248,15,16,0.6,0.4,,0.016755161,
217,17,30,0.9,0.6,,0.056548668,
228,22,62,1,0.6,,0.056548668,
235,12.5,8,1,0.7,,0.08979719,
268,,,,,,0,still in bud
262,14,8,0.5,0.3,,0.007068583,
224,25,60,1,0.7,,0.08979719,
239,9.5,4,0.6,0.4,,0.016755161,
259,14.5,8,0.8,0.5,,0.032724923,
253,13,8,0.7,0.4,11,0.016755161,
221,19.5,32,1,0.7,24,0.08979719,
223,17,16,0.8,0.5,13,0.032724923,
236,11.5,4,0.9,0.6,13,0.056548668,
246,14,8,0.7,0.5,,0.032724923,
233,22.5,28,1,0.7,,0.08979719,
227,24,88,1,0.7,,0.08979719,
251,7.5,4,0.5,0.3,,0.007068583,
279,,,,,,0,still in bud
284,15,8,0.8,0.4,12,0.016755161,
277,12.5,12,0.4,0.3,6,0.007068583,
267,,,,,,0,still in bud
240,23,24,1.1,0.7,27,0.08979719,
264,17.5,16,0.9,0.6,22,0.056548668,
270,8.5,8,0.5,0.3,7,0.007068583,
229,20,48,1,0.8,24,0.134041287,
278,12,8,1.1,0.7,33,0.08979719,
