Site,Transect,Plot,subplot_num,Treatment,Fruit,height,num_infl,num_flowers_on_main_inf,total_num_flowers,inf_width,inf_height,inf_volume
Collins Plots,1,1,1,Pollen_Supplementation,24,26.5,1,32,32,2.2,1.5,5.701990666
Collins Plots,1,1,1,Ambient,19,26.5,1,30,30,2.1,1.6,5.541769441
Collins Plots,1,2,2,Pollen_Supplementation,40,35.5,1,37,37,2.2,1.9,7.222521511
Collins Plots,1,2,2,Ambient,48,33.5,1,53,53,1.9,2.3,6.521160951
Collins Plots,1,3,3,Pollen_Supplementation,39,25,1,31,31,1.8,1.2,3.053628059
Collins Plots,1,3,3,Ambient,39,25,1,40,40,2,1.3,4.08407045
Collins Plots,2,1,4,Pollen_Supplementation,25,21.5,1,25,25,2.2,1.7,6.462256088
Collins Plots,2,1,4,Ambient,23,22.5,1,19,19,2.1,1.4,4.849048261
Collins Plots,2,2,5,Pollen_Supplementation,15,23.5,1,21,21,1.7,1.2,2.723760831
Collins Plots,2,2,5,Ambient,8,23.5,1,18,18,1.7,1.1,2.496780761
Collins Plots,2,3,6,Pollen_Supplementation,24,27,1,30,30,1.8,1.5,3.817035074
Collins Plots,2,3,6,Ambient,26,28,1,34,34,2,1.4,4.398229715
Collins Plots,3,2,7,Pollen_Supplementation,18,16.5,1,19,19,1.6,1.4,2.814867018
Collins Plots,3,2,7,Ambient,15,21,1,18,18,1.8,1.6,4.071504079
Collins Plots,3,3,9,Pollen_Supplementation,67,28,1,47,47,2.4,1.9,8.5953975
Collins Plots,3,3,9,Ambient,46,26.5,3,38,50,2.2,1.7,6.462256088
Collins Plots,4,1,10,Pollen_Supplementation,29,26,1,32,32,1.9,1.2,3.402344844
Collins Plots,4,1,10,Ambient,26,26,1,33,33,2,1.4,4.398229715
Collins Plots,4,2,11,Pollen_Supplementation,42,32,1,35,35,2.1,1.2,4.156327081
Collins Plots,4,2,11,Ambient,26,28,1,25,25,2,1.4,4.398229715
Collins Plots,4,3,12,Pollen_Supplementation,33,32,1,27,27,2.1,1.6,5.541769441
Collins Plots,4,3,12,Ambient,34,30.5,1,30,30,2,1.2,3.769911184
Drought Shelters,1,1,13,Pollen_Supplementation,40,29,1,36,36,2,1.5,4.71238898
Drought Shelters,1,1,13,Ambient,22,29,1,38,38,2.2,1.8,6.8423888
Drought Shelters,1,2,14,Pollen_Supplementation,32,28.5,1,33,33,2.3,1.4,5.816658798
Drought Shelters,1,2,14,Ambient,28,27.5,1,33,33,2.2,1.6,6.082123377
Drought Shelters,1,3,15,Pollen_Supplementation,23,28.5,1,28,28,2.1,1.5,5.195408851
Drought Shelters,1,3,15,Ambient,30,29.5,1,25,25,2.3,1.7,7.063085683
Drought Shelters,2,1,16,Pollen_Supplementation,34,32,1,20,20,2.1,1.4,4.849048261
Drought Shelters,2,1,16,Ambient,23,30.5,1,28,28,2.2,1.3,4.941725244
Drought Shelters,2,2,17,Pollen_Supplementation,39,29,1,34,34,2.2,1.7,6.462256088
Drought Shelters,2,2,17,Ambient,20,27.5,1,31,31,2.3,1.8,7.478561312
Drought Shelters,2,3,18,Pollen_Supplementation,34,25.5,1,24,24,2.1,1.7,5.888130031
Drought Shelters,2,3,18,Ambient,25,25.5,1,22,22,2,1.7,5.340707511
Drought Shelters,3,1,19,Pollen_Supplementation,42,26.5,1,28,28,2.2,1.2,4.561592533
Drought Shelters,3,1,19,Ambient,25,26,1,26,26,2.1,1.6,5.541769441
Drought Shelters,3,2,20,Pollen_Supplementation,24,20,1,23,23,2.3,1.4,5.816658798
Drought Shelters,3,2,20,Ambient,15,21.5,1,20,20,2.3,1.6,6.647610055
Drought Shelters,3,3,21,Pollen_Supplementation,67,36.5,1,43,43,2.6,2,10.61858317
Drought Shelters,3,3,21,Ambient,43,35,2,36,38,2.4,2.7,12.21451224
Drought Shelters,4,1,22,Pollen_Supplementation,36,18,1,35,35,2.2,1.5,5.701990666
Drought Shelters,4,1,22,Ambient,47,18.5,1,36,36,2.2,1.6,6.082123377
Drought Shelters,4,2,23,Pollen_Supplementation,33,21,1,33,33,2.1,1.6,5.541769441
Drought Shelters,4,2,23,Ambient,37,22,1,39,39,2.4,1.6,7.238229474
Drought Shelters,4,3,24,Pollen_Supplementation,25,22.5,1,35,35,2,1.3,4.08407045
Drought Shelters,4,3,24,Ambient,20,25,1,24,24,2.2,12,45.61592533
