"","Site","Area","Transect","Plot","Subplot","Date","Species","plant_height","number_of_inflors","inflor_height","inflor_width","infvol","num_seeds2","subplot_num","Pollination.Experiment.Subplot..1...Yes..0...No.","X.Plectritis","X.Plectritis..including.pollinator.focal.plants.","X.Valerianella","X.Plectritis.1m.2..excluding.subplots.","X.Plectritis.1m.2..including.subplots.","X.Valerianella.1m.2","X.Valerianella.1m.2..including.subplots.","X.shrubcover.subplot","X.shrubcover.1m.2","X.grasscover.subplot","X.grasscover.1m.2","soil.depth.1","soil.depth.2","soil.depth.1..1m.2.","soil.depth.2..1m.2.","soil.moisture.1.7.6cm","soil.moisture.2.7.6cm","avg_soil_moisture_7.6cm","soil.moisture.1.7.6cm..1m.2.","soil.moisture.2.7.6cm..1m.2.","soil.moisture.1.12cm","soil.moisture.2.12cm","avg_soil_moisture_12cm","soil.moisture.1.12cm..1m.2.","soil.moisture.2.12cm..1m.2.","flowering.sps.subplot..id.s.","flowering.sps.subplot..richness.","flowering.sps.1m.2..id.s.","flowering.sps.1m.2..richness.","X..flowering.infloresences.in.subplot","species.richnesss.subplot..id.s.","species.richnesss.subplot","species.richnesss.subplot..1m.2...id.s.","species.richness..1m.2.","observation"
"1","Cowichan","Collins Field",1,1,"A","5/30/2017","VALO",13.8333333333333,2,NA,0.7,0.0897971900151082,33.6690656556959,1,1,6,8,3,205,219,33,37,0,0,80,90,">12",">12",">12",">12","16.4","17.9","17.15","16.9","15.9","27.2","25.7","26.45","23.8","23.8","Lathyrus _, Geranium molle, Vicia (p) ",3,"Lathyrus _, Geranium molle, Vicia (p), Lomatium, Camassia quamash, Myositis",NA,NA,NA,NA,NA,NA,1
"2","Cowichan","Collins Field",1,1,"B","5/30/2017","VALO",21.5,4,NA,0.9,0.19085175370558,44.6471033374233,2,0,6,6,1,205,219,33,37,0,0,90,90,"7<x<12","<7",">12",">12","16.4",NA,"16.4","16.9","15.9",NA,NA,"#DIV/0!","23.8","23.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"3","Cowichan","Collins Field",1,2,"A","5/30/2017","VALO",13,2,NA,0.7,0.0897971900151082,32.7458953578539,3,1,12,14,1,124,148,2,3,0,0,60,75,">12",">12",">12",">12","16.9","17.9","17.4","14.9","18.4","23.8","25.7","24.75","23.8","23.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"4","Cowichan","Collins Field",1,2,"B","5/30/2017","VALO",NA,NA,NA,NA,NA,NA,4,0,10,10,0,124,148,2,3,0,0,80,75,"7<x<12",">12",">12",">12","14.4","10.5","12.45","14.9","18.4","21.8",NA,"21.8","23.8","23.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"5","Cowichan","Collins Field",1,3,"A","5/30/2017","VALO",10.8571428571429,2,NA,0.5,0.0327249234748937,30.116981761145,5,1,38,40,7,796,882,21,28,0,0,10,40,">12",">12",">12",">12","32.1","23.3","27.7","27.7","22.3","22.3","15.9","19.1","15.9","14.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"6","Cowichan","Collins Field",1,3,"B","5/30/2017","VALO",NA,NA,NA,NA,NA,NA,6,0,46,46,0,796,882,21,28,0,0,50,40,">12",">12",">12",">12","13.5","14.9","14.2","27.7","22.3","22.8","23.3","23.05","15.9","14.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"7","Cowichan","Collins Field",2,1,"A","5/30/2017","VALO",9.75,1.5,NA,0.6,0.0565486677646163,28.4886302633768,7,1,8,10,4,83,100,41,45,0,0,20,25,"7<x<12","7<x<12",">12","<7","13","13.5","13.25","12",NA,NA,NA,"#DIV/0!","17.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"8","Cowichan","Collins Field",2,1,"B","5/30/2017","VALO",NA,NA,NA,NA,NA,NA,8,0,7,7,0,83,100,41,45,0,0,20,25,"<7","<7",">12","<7",NA,NA,"#DIV/0!",NA,NA,NA,NA,"#DIV/0!","17.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"9","Cowichan","Collins Field",2,2,"A","5/30/2017","VALO",10.5,2,NA,0.5,0.0327249234748937,29.7213373477841,9,1,108,110,1,917,1093,4,5,0,0,10,5,"<7","<7","7<x<12","7<x<12",NA,NA,"#DIV/0!","13","13.9",NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"10","Cowichan","Collins Field",2,2,"B","5/30/2017","VALO",NA,NA,NA,NA,NA,NA,10,0,66,66,0,917,1093,4,5,0,0,5,5,"<7","<7","7<x<12","7<x<12",NA,NA,"#DIV/0!","13","13.9",NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"11","Cowichan","Collins Field",2,3,"A","5/30/2017","VALO",NA,NA,NA,NA,NA,NA,11,1,68,70,0,663,771,8,9,0,0,3,10,"<7","<7","7<x<12","7<x<12",NA,NA,"#DIV/0!","13","12.5",NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"12","Cowichan","Collins Field",2,3,"B","5/30/2017","VALO",11,2,NA,0.4,0.0167551608191456,30.2038731314931,12,0,38,38,1,663,771,8,9,0,0,5,10,"<7","<7","7<x<12","7<x<12",NA,NA,"#DIV/0!","13","12.5",NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"13","Cowichan","Collins Field",3,1,"A","5/30/2017","VALO",15.31,4.1,NA,0.78,0.124237423078862,37.593768930207,13,1,1,3,13,20,27,78,94,0,0,10,50,">12",">12",">12",">12","18.4","15.4","16.9","17.9","19.3","24.3","24.3","24.3","28.2","20.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"14","Cowichan","Collins Field",3,1,"B","5/30/2017","VALO",15.2666666666667,3.33333333333333,NA,0.866666666666667,0.170421705183624,36.9727328702402,14,0,4,4,3,20,27,78,94,0,0,20,50,">12",">12",">12",">12","15.4","19.8","17.6","17.9","19.3","25.2","24.7","24.95","28.2","20.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"15","Cowichan","Collins Field",3,2,"A","5/30/2017","VALO",11,2,NA,0.633333333333333,0.0665067407746061,30.4262052339373,15,1,35,37,3,541,600,28,33,0,0,5,5,">12","7<x<12",">12",">12","14.4","16.9","15.65","17.4","16.4","25.7",NA,"25.7","25.7","22.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,15
